id,student_name,house,potions,herbology,darkarts,flying
143,Wizard863,Ravenclaw,96,86,88,85
144,Salazar Hooch,Hufflepuff,40,68,64,47
145,Wizard1047,Hufflepuff,54,76,63,73
146,Wizard1806,Ravenclaw,99,86,86,89
147,Wizard1555,Gryffindor,89,52,84,89
148,Wizard3539,Hufflepuff,41,77,82,54
149,Wizard286,Gryffindor,66,75,76,69
150,Wizard1199,Ravenclaw,92,94,88,93
151,Wizard3857,Hufflepuff,83,73,50,67
152,Wizard3887,Slytherin,87,71,73,93
153,Wizard3648,Ravenclaw,85,100,95,87
154,Wizard86,Slytherin,92,77,89,74
155,Wizard2745,Ravenclaw,89,91,88,94
156,Wizard691,Hufflepuff,56,46,75,62
157,Wizard3730,Gryffindor,75,67,58,77
158,Wizard4097,Slytherin,93,82,80,95
159,Wizard31,Gryffindor,54,85,56,63
160,Wizard4069,Slytherin,80,88,74,71
161,Wizard2092,Ravenclaw,91,87,85,97
162,Remus Peverell,Gryffindor,59,52,52,74
163,Wizard3205,Ravenclaw,92,89,97,90
164,Wizard260,Slytherin,84,70,73,83
165,Wizard121,Gryffindor,83,80,54,58
166,Tom Slughorn,Hufflepuff,60,44,65,68
167,Wizard817,Hufflepuff,52,83,56,45
168,Wizard1732,Hufflepuff,57,80,48,70
169,Wizard1139,Slytherin,87,92,93,74
170,Wulfric Crabbe,Ravenclaw,98,91,96,92
171,Wizard3927,Hufflepuff,43,75,45,42
172,Wizard2371,Gryffindor,61,84,53,51
173,Wizard1523,Gryffindor,56,64,77,74
174,Wizard1175,Ravenclaw,96,100,88,90
175,Wizard1617,Slytherin,87,71,85,87
176,Wizard3674,Slytherin,77,90,77,82
177,Newt Hagrid,Slytherin,78,76,81,71
178,Wizard2717,Hufflepuff,79,84,74,66
179,Wizard2219,Hufflepuff,45,55,85,41
180,Wizard710,Ravenclaw,87,99,94,89
181,Salazar Grindelwald,Hufflepuff,56,64,81,56
182,Wizard3255,Slytherin,80,79,86,94
183,Gellert Slughorn,Ravenclaw,98,93,88,100
184,Wizard2409,Hufflepuff,62,48,82,76
185,Wizard2337,Slytherin,80,94,91,90
186,Lucius Crabbe,Hufflepuff,69,57,55,48
187,Wizard4039,Gryffindor,62,60,71,60
188,Wizard3944,Slytherin,71,75,95,85
189,Salazar Selwyn,Slytherin,81,92,75,88
190,Wizard1572,Ravenclaw,98,94,85,92
191,Wizard2472,Slytherin,73,77,83,95
192,Wizard3391,Gryffindor,74,84,55,89
193,Wizard3764,Gryffindor,65,68,61,75
194,Wizard1653,Ravenclaw,99,95,92,88
195,Wizard808,Gryffindor,50,81,71,60
196,Wizard2517,Slytherin,88,71,83,73
197,Wizard3831,Hufflepuff,78,65,51,81
198,Wizard4036,Slytherin,75,70,95,78
199,Wizard711,Hufflepuff,44,66,66,73
200,Wizard3915,Slytherin,93,77,70,83
201,Wizard2441,Ravenclaw,99,96,95,88
202,Wizard2361,Slytherin,88,78,93,72
203,Wizard3520,Slytherin,74,83,76,78
204,Wizard1673,Hufflepuff,84,41,68,60
205,Dilys Crabbe,Slytherin,95,79,84,84
206,Wizard2044,Gryffindor,90,79,54,67
207,Wizard3160,Slytherin,95,75,88,76
208,Rubeus Carrow,Slytherin,70,70,93,84
209,Wizard1616,Hufflepuff,40,58,84,55
210,Wizard1154,Hufflepuff,73,52,84,48
211,Wizard3976,Hufflepuff,56,53,71,60
212,Wizard3941,Slytherin,79,82,81,87
213,Wizard938,Slytherin,84,91,79,76
214,Wizard2169,Hufflepuff,65,59,59,76
215,Wizard740,Ravenclaw,95,92,90,87
216,Wizard1980,Hufflepuff,78,44,82,44
217,Wizard1021,Hufflepuff,60,59,62,85
218,Wizard1087,Slytherin,82,71,84,95
219,Wizard564,Ravenclaw,100,89,88,90
220,Wizard1539,Slytherin,70,73,70,78
221,Wizard149,Gryffindor,80,56,60,55
222,Wizard985,Gryffindor,63,76,63,76
223,Wizard653,Hufflepuff,74,66,45,42
224,Wizard1100,Slytherin,86,81,71,85
225,Wizard3575,Ravenclaw,86,99,94,98
226,Arthur Slughorn,Hufflepuff,61,84,68,67
227,Wizard1050,Gryffindor,84,71,84,83
228,Wizard2052,Slytherin,78,94,91,82
229,Wizard576,Hufflepuff,84,63,44,50
230,Wizard3516,Slytherin,89,82,94,73
231,Wizard2907,Hufflepuff,58,80,64,81
232,Wizard2872,Slytherin,88,71,91,91
233,Wizard512,Hufflepuff,41,82,60,78
234,Wizard2863,Slytherin,74,85,76,82
235,Wizard2178,Slytherin,79,80,89,70
236,Wizard997,Hufflepuff,50,46,65,79
237,Wizard779,Ravenclaw,98,86,94,86
238,Wizard870,Gryffindor,78,52,55,58
239,Salazar Flitwick,Ravenclaw,95,97,90,92
240,Wizard1640,Ravenclaw,100,99,88,89
241,Wizard987,Hufflepuff,44,52,50,71
242,Wizard2721,Slytherin,72,95,89,83
243,Wizard4052,Ravenclaw,96,86,85,97
244,Bridget Bones,Slytherin,85,79,91,88
245,Wizard2965,Ravenclaw,91,87,90,100
246,Wizard1537,Slytherin,83,79,91,87
247,Sirius Flitwick,Slytherin,72,85,81,84
248,Wizard3665,Ravenclaw,85,88,86,96
249,Leta Diggory,Slytherin,78,85,83,95
250,Hepzibah Lestrange,Ravenclaw,95,96,89,93
251,Horace Goyle,Slytherin,78,93,85,81
252,Wizard89,Slytherin,82,77,93,90
253,Rowena Zabini,Slytherin,87,93,76,91
254,Wizard3799,Hufflepuff,41,65,57,62
255,Wizard2708,Slytherin,82,82,89,71
256,Wizard632,Ravenclaw,87,99,95,91
257,Dilys Tonks,Hufflepuff,45,44,52,85
258,Wizard1584,Slytherin,85,90,78,74
259,Wizard2177,Slytherin,78,92,74,83
260,Wizard729,Ravenclaw,95,95,86,93
261,Wizard1020,Gryffindor,64,90,57,81
262,Wizard3942,Hufflepuff,46,76,76,69
263,Wizard2582,Hufflepuff,68,77,82,59
264,Salazar Black,Hufflepuff,76,75,43,77
265,Wizard3685,Slytherin,91,75,95,82
266,Wizard1623,Slytherin,70,87,79,89
267,Wizard320,Hufflepuff,47,74,84,61
268,Wizard558,Slytherin,82,81,83,94
269,Wizard3820,Gryffindor,52,54,70,77
270,Wizard731,Gryffindor,87,58,81,52
271,Wizard2107,Ravenclaw,90,98,94,87
272,Wizard4040,Hufflepuff,63,45,57,41
273,Wizard2209,Slytherin,78,79,83,94
274,Wizard596,Slytherin,93,88,85,94
275,Wizard3215,Hufflepuff,78,52,51,47
276,Wizard1416,Hufflepuff,42,79,56,48
277,Wizard1918,Gryffindor,63,69,71,67
278,Wizard3821,Gryffindor,82,77,83,81
279,Wizard1899,Hufflepuff,60,58,68,72
280,Hepzibah Lupin,Ravenclaw,94,92,97,86
281,Wizard140,Slytherin,81,90,73,85
282,Wizard2768,Ravenclaw,96,93,93,99
283,Wizard244,Hufflepuff,42,76,83,71
284,Wizard4030,Slytherin,77,85,85,77
285,Wizard2893,Hufflepuff,63,73,84,41
286,Wizard3623,Hufflepuff,61,68,61,51
287,Wizard2077,Hufflepuff,53,42,69,85
288,Wizard2114,Gryffindor,82,85,72,85
289,Minerva Crabbe,Slytherin,90,82,82,91
290,Percy Flitwick,Gryffindor,79,90,83,66
291,Wizard408,Hufflepuff,66,82,85,76
292,Wizard994,Hufflepuff,72,55,55,75
293,Wizard1531,Hufflepuff,61,84,59,57
294,Wizard3660,Hufflepuff,68,73,78,63
295,Wizard3708,Gryffindor,79,90,82,60
296,Wizard700,Hufflepuff,58,83,69,56
297,Wizard972,Ravenclaw,90,85,86,92
298,Wizard3224,Gryffindor,51,62,66,64
299,Salazar Greengrass,Slytherin,81,74,76,74
300,Wizard2990,Ravenclaw,100,94,88,97
301,Wizard3735,Gryffindor,74,84,84,88
302,Theseus Weasley,Gryffindor,62,66,53,84
303,Wizard397,Slytherin,83,81,91,95
304,Wizard1345,Slytherin,82,75,83,80
305,Wizard1489,Ravenclaw,86,87,100,86
306,Wizard1461,Gryffindor,58,55,61,67
307,Wizard246,Gryffindor,51,66,52,65
308,Wizard458,Hufflepuff,66,52,60,47
309,Wizard1230,Gryffindor,80,66,89,52
310,Wizard3634,Hufflepuff,59,63,41,51
311,Wizard675,Ravenclaw,100,98,92,97
312,Wizard2426,Slytherin,83,78,91,94
313,Wizard90,Slytherin,79,87,74,95
314,Bathilda Parkinson,Gryffindor,54,63,62,66
315,Wizard2261,Gryffindor,59,62,66,63
316,Wizard2413,Ravenclaw,92,92,98,90
317,Wizard2904,Gryffindor,83,73,78,76
318,Nymphadora Slughorn,Hufflepuff,52,47,65,51
319,Rowena Selwyn,Gryffindor,79,57,60,89
320,Wizard388,Slytherin,81,75,86,80
321,Godric Pucey,Hufflepuff,65,44,53,73
322,Wilhelmina Snape,Slytherin,89,90,93,87
323,Horace Zabini,Gryffindor,62,60,80,85
324,Wizard693,Slytherin,80,94,93,93
325,Wizard957,Hufflepuff,42,75,67,45
326,Wizard2132,Hufflepuff,40,52,85,64
327,Wizard1994,Ravenclaw,95,91,95,89
328,Wizard312,Slytherin,95,70,77,93
329,Wizard3635,Slytherin,75,77,94,94
330,Wizard1882,Gryffindor,51,84,52,50
331,Albus Lupin,Gryffindor,60,83,58,58
332,Wizard3412,Gryffindor,88,65,55,60
333,Wizard3917,Hufflepuff,53,64,81,70
334,Bellatrix Black,Hufflepuff,60,73,46,59
335,Wizard4032,Gryffindor,67,61,78,85
336,Wizard3098,Ravenclaw,100,93,97,89
337,Wizard513,Gryffindor,85,66,84,88
338,Wizard4080,Gryffindor,89,69,79,51
339,Dilys McGonagall,Ravenclaw,88,98,98,97
340,Wizard1607,Ravenclaw,96,91,91,88
341,Wizard3169,Gryffindor,79,69,71,79
342,Wizard3499,Ravenclaw,88,86,93,88
343,Wizard3381,Gryffindor,83,67,67,71
344,Wizard441,Hufflepuff,46,54,46,82
345,Wizard1711,Ravenclaw,87,92,92,99
346,Wizard3835,Gryffindor,89,51,83,81
347,Wizard2712,Hufflepuff,53,43,76,53
348,Wizard2513,Gryffindor,68,81,82,88
349,Horace Hooch,Slytherin,94,94,92,86
350,Wizard2346,Ravenclaw,91,98,100,97
351,Wizard2496,Hufflepuff,51,45,63,66
352,Wizard3301,Slytherin,95,89,91,75
353,Wizard1273,Hufflepuff,49,71,40,75
354,Molly Parkinson,Ravenclaw,92,98,90,94
355,Wizard2562,Ravenclaw,100,86,86,91
356,Tom Black,Ravenclaw,91,86,99,100
357,Wizard2621,Hufflepuff,61,44,40,56
358,Wizard4028,Slytherin,85,79,75,78
359,Bellatrix Yaxley,Gryffindor,76,71,82,55
360,Wizard2940,Hufflepuff,77,64,80,76
361,Wizard3727,Ravenclaw,96,88,95,87
362,Wizard2644,Slytherin,82,91,89,77
363,Wizard1937,Ravenclaw,93,91,94,95
364,Wizard1236,Gryffindor,82,70,84,78
365,Wizard1643,Slytherin,84,78,81,91
366,Tom Hagrid,Ravenclaw,99,100,97,96
367,Hepzibah Lovegood,Gryffindor,68,53,77,62
368,Severus Grindelwald,Slytherin,80,76,93,87
369,Lucius Hooch,Ravenclaw,87,92,99,93
370,Wizard554,Gryffindor,72,71,77,56
371,Wizard969,Ravenclaw,96,97,100,97
372,Molly Selwyn,Gryffindor,75,58,88,71
373,Wizard1228,Gryffindor,81,75,70,65
374,Wizard1708,Slytherin,77,79,89,75
375,Wizard2397,Ravenclaw,93,100,95,91
376,Wizard1201,Hufflepuff,44,78,70,69
377,Wizard1545,Gryffindor,77,82,74,63
378,Wizard3467,Slytherin,77,85,82,88
379,Wizard1532,Gryffindor,75,63,85,68
380,Wizard2516,Hufflepuff,63,46,40,71
381,Wizard3492,Hufflepuff,79,82,41,74
382,Wizard1677,Hufflepuff,65,52,68,51
383,Wizard2618,Ravenclaw,96,94,100,94
384,Wizard1881,Gryffindor,77,75,66,83
385,Wizard288,Hufflepuff,75,62,81,40
386,Bellatrix Hagrid,Ravenclaw,100,91,92,95
387,Wizard2579,Ravenclaw,95,100,92,100
388,Wizard2756,Hufflepuff,42,71,71,48
389,Wizard2528,Slytherin,95,78,74,92
390,Wizard2554,Hufflepuff,76,70,63,82
391,Wizard1888,Gryffindor,65,70,58,68
392,Wizard2294,Hufflepuff,58,81,82,68
393,Wizard2849,Ravenclaw,100,96,99,89
394,Wizard647,Hufflepuff,55,62,47,67
395,Wizard3265,Slytherin,89,72,89,81
396,Wizard1386,Ravenclaw,88,99,96,90
397,Wizard888,Slytherin,80,81,78,81
398,Wizard227,Hufflepuff,48,47,82,55
399,Wizard1090,Hufflepuff,42,42,64,62
400,Wizard1288,Hufflepuff,47,58,85,69
401,Wizard1001,Hufflepuff,77,41,50,75
402,Wizard2636,Hufflepuff,43,70,74,74
403,Wizard504,Slytherin,81,85,76,92
404,Wizard1902,Gryffindor,90,66,54,77
405,Wizard681,Gryffindor,57,62,54,58
406,Leta Bones,Gryffindor,77,61,74,52
407,Wizard4011,Ravenclaw,90,99,95,94
408,Wizard3586,Hufflepuff,81,74,83,58
409,Wizard1823,Ravenclaw,88,93,89,98
410,Wizard2157,Ravenclaw,98,100,95,97
411,Wizard1680,Gryffindor,63,80,90,71
412,Leta Lestrange,Hufflepuff,46,71,70,57
413,Wizard2425,Gryffindor,55,73,76,61
414,Wizard27,Gryffindor,75,60,53,60
415,Wizard88,Hufflepuff,43,77,67,55
416,Wizard446,Hufflepuff,41,42,60,42
417,Wizard3252,Slytherin,73,91,84,83
418,Wizard2746,Ravenclaw,86,89,94,91
419,Wizard4082,Hufflepuff,42,41,50,80
420,Wizard1701,Hufflepuff,43,42,44,78
421,Wizard1016,Hufflepuff,77,56,46,55
422,Wizard2918,Slytherin,86,75,72,74
423,Leta Dumbledore,Hufflepuff,58,78,78,60
424,Percy Crabbe,Gryffindor,62,68,90,52
425,Wizard114,Gryffindor,70,85,69,61
426,Wizard1566,Slytherin,93,80,92,78
427,Wizard2308,Ravenclaw,93,94,88,92
428,Wizard3135,Hufflepuff,48,83,69,85
429,Wizard3498,Slytherin,84,89,82,70
430,Wilhelmina Riddle,Hufflepuff,48,44,40,73
431,Leta Hooch,Hufflepuff,51,53,84,69
432,Wizard3564,Slytherin,87,90,71,92
433,Wizard618,Hufflepuff,54,75,45,55
434,Wizard1513,Hufflepuff,41,79,45,80
435,Wizard500,Gryffindor,84,73,68,53
436,Wizard3642,Hufflepuff,50,60,74,42
437,Wizard2792,Hufflepuff,47,44,83,84
438,Wizard1460,Gryffindor,55,73,65,75
439,Wizard2099,Gryffindor,68,66,57,63
440,Leta Crouch,Ravenclaw,87,92,88,93
441,Kingsley Grindelwald,Ravenclaw,85,90,95,86
442,Wizard2531,Hufflepuff,74,82,82,79
443,Wizard348,Ravenclaw,85,87,86,86
444,Wizard2752,Gryffindor,61,83,83,70
445,Wizard3787,Gryffindor,54,82,67,63
446,Wizard990,Gryffindor,52,55,64,86
447,Wizard2334,Gryffindor,60,85,64,51
448,Wizard1669,Hufflepuff,70,82,76,79
449,Wizard4003,Ravenclaw,91,98,86,90
450,Wizard3633,Hufflepuff,79,49,45,45
451,Wizard3656,Slytherin,74,80,91,76
452,Wizard2038,Ravenclaw,98,90,91,91
453,Wizard572,Hufflepuff,75,76,83,55
454,Wizard2400,Gryffindor,78,67,81,74
455,Wizard2658,Gryffindor,67,87,77,79
456,Bellatrix Diggory,Hufflepuff,83,65,71,42
457,Wizard2982,Ravenclaw,90,97,91,94
458,Wizard1088,Hufflepuff,59,66,55,58
459,Wizard2477,Ravenclaw,95,89,90,96
460,Dilys Riddle,Slytherin,72,77,81,76
461,Wizard3369,Slytherin,75,73,83,93
462,Wizard1342,Gryffindor,73,89,66,74
463,Wizard3299,Slytherin,81,79,93,91
464,Wizard831,Gryffindor,71,63,81,70
465,Wizard222,Hufflepuff,47,76,42,59
466,Albus McGonagall,Gryffindor,60,71,90,76
467,Wizard1850,Gryffindor,78,71,50,58
468,Wizard1217,Hufflepuff,56,79,65,52
469,Wizard1952,Gryffindor,64,75,54,76
470,Wizard1815,Ravenclaw,96,95,85,100
471,Wizard2740,Hufflepuff,84,57,69,54
472,Wizard1727,Ravenclaw,100,93,99,95
473,Wizard306,Slytherin,80,91,89,82
474,Wizard1084,Ravenclaw,88,100,87,98
475,Wizard1702,Gryffindor,51,85,74,74
476,Wizard1111,Gryffindor,73,80,56,65
477,Wizard2958,Slytherin,85,82,84,84
478,Wizard3207,Hufflepuff,59,61,48,74
479,Wizard667,Hufflepuff,77,78,47,72
480,Wizard1821,Ravenclaw,96,93,96,96
481,Wizard1811,Ravenclaw,96,100,89,97
482,Wizard2731,Ravenclaw,98,88,93,93
483,Wizard1220,Slytherin,94,84,81,91
484,Lucius Zabini,Slytherin,81,83,84,70
485,Tom Crabbe,Gryffindor,63,50,50,70
486,Wizard2834,Slytherin,74,78,95,79
487,Wizard462,Ravenclaw,87,87,91,96
488,Wizard3090,Gryffindor,52,84,80,58
489,Wizard1195,Hufflepuff,43,68,66,61
490,Wizard3347,Ravenclaw,89,91,97,98
491,Wizard2898,Gryffindor,58,64,59,80
492,Wizard3190,Hufflepuff,43,75,63,43
493,Hepzibah Grindelwald,Hufflepuff,64,83,66,40
494,Theseus Parkinson,Gryffindor,70,50,50,63
495,Wizard2995,Slytherin,95,73,84,85
496,Wizard1810,Ravenclaw,99,85,99,87
497,Wizard2320,Hufflepuff,81,53,63,77
498,Wizard3806,Gryffindor,55,86,51,85
499,Severus Selwyn,Hufflepuff,43,77,42,63
500,Helga Peverell,Gryffindor,77,76,54,52
501,Wizard666,Ravenclaw,99,87,87,100
502,Wizard1805,Gryffindor,89,56,87,85
503,Wizard2900,Ravenclaw,89,90,90,95
504,Wizard1503,Gryffindor,61,72,51,74
505,Wizard3451,Gryffindor,88,75,90,77
506,Wizard3151,Gryffindor,61,76,89,87
507,Wizard2155,Gryffindor,51,58,74,60
508,Helga Grindelwald,Gryffindor,71,87,87,90
509,Wizard2478,Ravenclaw,100,88,89,97
510,Wizard2546,Hufflepuff,46,43,77,57
511,Wizard1764,Slytherin,79,91,89,86
512,Wizard3356,Gryffindor,58,59,69,68
513,Wizard331,Slytherin,73,79,94,85
514,Wizard488,Slytherin,84,93,80,83
515,Wizard92,Slytherin,70,86,90,82
516,Wizard3510,Gryffindor,84,90,79,65
517,Wizard3920,Slytherin,76,89,94,93
518,Wizard3854,Gryffindor,51,86,58,64
519,Wizard3672,Hufflepuff,71,84,67,84
520,Wizard2251,Gryffindor,80,65,61,81
521,Wizard2734,Slytherin,87,83,94,79
522,Wizard1397,Gryffindor,88,64,84,72
523,Wizard3813,Gryffindor,79,87,55,82
524,Wizard2837,Slytherin,81,83,84,73
525,Wizard3370,Slytherin,78,74,90,70
526,Wizard3934,Gryffindor,80,68,50,89
527,Wizard407,Slytherin,79,89,87,79
528,Wizard934,Gryffindor,72,52,58,67
529,Wizard940,Hufflepuff,40,64,52,77
530,Wizard377,Ravenclaw,94,96,97,99
531,Wizard1728,Gryffindor,90,77,57,85
532,Wizard2069,Ravenclaw,92,92,92,90
533,Wizard2750,Gryffindor,84,77,66,74
534,Wizard1595,Hufflepuff,40,74,62,80
535,Wizard1105,Hufflepuff,44,59,76,69
536,Wizard3149,Slytherin,71,92,86,80
537,Hepzibah McGonagall,Hufflepuff,61,78,84,63
538,Wizard0,Hufflepuff,75,83,77,77
539,Wizard97,Slytherin,85,95,78,83
540,Wizard3286,Slytherin,91,73,82,77
541,Molly Lovegood,Ravenclaw,91,85,99,92
542,Filius Diggory,Gryffindor,87,55,84,65
543,Wizard541,Hufflepuff,80,56,55,68
544,Wizard1712,Slytherin,81,83,80,79
545,Wizard424,Slytherin,82,85,88,72
546,Wizard1354,Slytherin,82,87,83,73
547,Wizard1908,Slytherin,79,85,73,94
548,Godric Flitwick,Hufflepuff,85,62,71,54
549,Wizard3145,Slytherin,78,71,85,81
550,Sirius Snape,Gryffindor,52,82,53,58
551,Wizard3069,Slytherin,93,76,95,80
552,Severus Parkinson,Gryffindor,50,56,56,88
553,Wizard2883,Slytherin,71,84,71,85
554,Wizard1329,Slytherin,88,78,78,82
555,Wizard1165,Hufflepuff,46,82,68,64
556,Wizard1809,Slytherin,94,93,92,76
557,Wizard322,Ravenclaw,100,95,94,98
558,Wizard3154,Ravenclaw,98,94,92,94
559,Wizard2452,Slytherin,72,72,73,88
560,Wizard4093,Slytherin,89,86,77,77
561,Hepzibah Riddle,Gryffindor,54,70,88,74
562,Wizard2661,Gryffindor,83,89,53,64
563,Percy Goyle,Ravenclaw,91,85,98,100
564,Rubeus Yaxley,Ravenclaw,99,97,90,92
565,Wizard713,Ravenclaw,96,88,87,90
566,Wizard1543,Ravenclaw,86,86,98,100
567,Wizard61,Hufflepuff,47,45,54,80
568,Wizard4051,Slytherin,83,72,86,95
569,Wizard2880,Hufflepuff,45,54,62,84
